database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa04080,Neuroactive ligand-receptor interaction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04081,Hormone signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04082,Neuroactive ligand signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04110,Cell cycle,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04114,Oocyte meiosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04115,p53 signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04120,Ubiquitin mediated proteolysis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04130,SNARE interactions in vesicular transport,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04136,Autophagy - other,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04137,Mitophagy - animal,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04140,Autophagy - animal,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04141,Protein processing in endoplasmic reticulum,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04142,Lysosome biogenesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04144,Endocytosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04145,Phagocytosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04146,Peroxisome,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04148,Efferocytosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04150,mTOR signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04151,PI3K-Akt signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04152,AMPK signaling pathway,TRUE,TRUE,FALSE,2
KEGG,Down,hsa04156,Integrated stress response (ISR) signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04210,Apoptosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04211,Longevity regulating pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04213,Longevity regulating pathway - multiple species,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04215,Apoptosis - multiple species,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04216,Ferroptosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04217,Necroptosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04218,Cellular senescence,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04260,Cardiac muscle contraction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04261,Adrenergic signaling in cardiomyocytes,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04270,Vascular smooth muscle contraction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04310,Wnt signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04330,Notch signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04340,Hedgehog signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04350,TGF-beta signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04360,Axon guidance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04370,VEGF signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04371,Apelin signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04380,Osteoclast differentiation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04382,Cornified envelope formation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04390,Hippo signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04392,Hippo signaling pathway - multiple species,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04510,Focal adhesion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04512,ECM-receptor interaction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04514,Cell adhesion molecule (CAM) interaction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04517,IgSF CAM signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04518,Integrin signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04519,Cadherin signaling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04520,Adherens junction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04530,Tight junction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04540,Gap junction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04550,Signaling pathways regulating pluripotency of stem cells,FALSE,FALSE,FALSE,0
